n,r,m
(:Object {name: 石榴}),[:SYMBOLIZES],(:Symbol {name: 多子})
(:Object {name: 桃花}),[:SYMBOLIZES],(:Symbol {name: 美好姻缘})
(:Object {name: 花瓶}),[:SYMBOLIZES],(:Symbol {name: 平安})
(:Artwork {name: 连生贵子}),[:REFERENCES],(:Document {name: 王逊论述})
(:Person {name: 王树村}),[:IS_A],(:Attribute {name: 年画研究专家})
(:Technique {name: 宋元勾勒技法}),[:BELONGS_TO_ERA],(:Era {name: 宋元})
(:Artwork {name: 连生贵子}),[:USES],(:Technique {name: 宋元勾勒技法})
(:Artwork {name: 连生贵子}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/16.%E8%BF%9E%E7%94%9F%E8%B4%B5%E5%AD%90-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 财源辐辏}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 财源辐辏}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 财源辐辏}),[:DEPICTS],(:Figure {name: 娃娃})
(:Artwork {name: 财源辐辏}),[:DEPICTS],(:Object {name: 红色蝙蝠})
(:Artwork {name: 财源辐辏}),[:DEPICTS],(:Object {name: 祥云})
(:Artwork {name: 财源辐辏}),[:DEPICTS],(:Object {name: 蕉叶})
(:Artwork {name: 财源辐辏}),[:DEPICTS],(:Object {name: 金钱})
(:Artwork {name: 财源辐辏}),[:DEPICTS],(:Object {name: 宝珠})
(:Artwork {name: 财源辐辏}),[:DEPICTS],(:Object {name: 珊瑚})
(:Artwork {name: 财源辐辏}),[:DEPICTS],(:Object {name: 元宝})
(:Object {name: 红色蝙蝠}),[:SYMBOLIZES],(:Symbol {name: 洪福})
(:Object {name: 红色蝙蝠}),[:SYMBOLIZES],(:Symbol {name: 福从天降})
(:Object {name: 红色蝙蝠}),[:SYMBOLIZES],(:Symbol {name: 洪福天降})
(:Object {name: 元宝}),[:SYMBOLIZES],(:Symbol {name: 财富})
(:Object {name: 金钱}),[:SYMBOLIZES],(:Symbol {name: 财富})
(:Artwork {name: 财源辐辏}),[:SYMBOLIZES],(:Symbol {name: 财源辐辏})
(:Artwork {name: 财源辐辏}),[:IS_A],(:Attribute {name: 廉增戴记画店的精品之作})
(:Artwork {name: 财源辐辏}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/17.%E8%B4%A2%E6%BA%90%E8%BE%90%E8%BE%8F-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 加官进禄}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 加官进禄}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 加官进禄}),[:DEPICTS],(:Figure {name: 娃娃})
(:Artwork {name: 加官进禄}),[:DEPICTS],(:Object {name: 太子冠})
(:Artwork {name: 加官进禄}),[:DEPICTS],(:Object {name: 梅花鹿})
(:Object {name: 太子冠}),[:SYMBOLIZES],(:Symbol {name: 官})
(:Object {name: 梅花鹿}),[:SYMBOLIZES],(:Symbol {name: 禄})
(:Symbol {name: 加官进禄}),[:REFERENCES],(:Document {name: 《金史·元妃李氏传》})
(:Document {name: 《金史·元妃李氏传》}),[:BELONGS_TO_ERA],(:Era {name: 金代})
(:Artwork {name: 加官进禄}),[:SYMBOLIZES],(:Symbol {name: 加官进禄})
(:Artwork {name: 加官进禄}),[:IS_A],(:Attribute {name: 吉语娃娃画})
(:Artwork {name: 加官进禄}),[:REFERENCES],(:Document {name: 《金史·元妃李氏传》})
(:Artwork {name: 加官进禄}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/18.%E5%8A%A0%E5%AE%98%E8%BF%9B%E7%A6%84-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 平定升官}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 平定升官}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 金元宝})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 紫釉万寿纹立瓶})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 摇钱树})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 官帽})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 银锭})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 蕉叶})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 珊瑚枝})
(:Object {name: 紫釉万寿纹立瓶}),[:SYMBOLIZES],(:Symbol {name: 平})
(:Object {name: 银锭}),[:SYMBOLIZES],(:Symbol {name: 定})
(:Object {name: 官帽}),[:SYMBOLIZES],(:Symbol {name: 官位})
(:Symbol {name: 平}),[:SYMBOLIZES],(:Symbol {name: 平定升官})
(:Symbol {name: 定}),[:SYMBOLIZES],(:Symbol {name: 平定升官})
(:Symbol {name: 官位}),[:SYMBOLIZES],(:Symbol {name: 平定升官})
(:Object {name: 金元宝}),[:SYMBOLIZES],(:Symbol {name: 得富发财})
(:Object {name: 银锭}),[:SYMBOLIZES],(:Symbol {name: 得富发财})
(:Object {name: 珊瑚枝}),[:SYMBOLIZES],(:Symbol {name: 得富发财})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 盘长纹})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 圆寿纹})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 竹叶纹})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 忍冬纹})
(:Artwork {name: 平定升官}),[:DEPICTS],(:Object {name: 回纹})
(:Object {name: 盘长纹}),[:SYMBOLIZES],(:Symbol {name: 吉祥})
(:Object {name: 圆寿纹}),[:SYMBOLIZES],(:Symbol {name: 吉祥})
(:Object {name: 竹叶纹}),[:SYMBOLIZES],(:Symbol {name: 吉祥})
(:Object {name: 忍冬纹}),[:SYMBOLIZES],(:Symbol {name: 吉祥})
(:Object {name: 回纹}),[:SYMBOLIZES],(:Symbol {name: 吉祥})
(:Artwork {name: 平定升官}),[:SYMBOLIZES],(:Symbol {name: 升官发财})
(:Artwork {name: 平定升官}),[:SYMBOLIZES],(:Symbol {name: 多子多福})
(:Artwork {name: 平定升官}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/19.%E5%B9%B3%E5%AE%9A%E5%8D%87%E5%AE%98-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 福寿三多}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 福寿三多}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 福寿三多}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 福寿三多}),[:DEPICTS],(:Object {name: 桃子})
(:Artwork {name: 福寿三多}),[:DEPICTS],(:Object {name: 佛手瓜})
(:Artwork {name: 福寿三多}),[:DEPICTS],(:Object {name: 石榴})
(:Artwork {name: 福寿三多}),[:DEPICTS],(:Object {name: 蝙蝠})
(:Object {name: 佛手瓜}),[:SYMBOLIZES],(:Symbol {name: 多福})
(:Object {name: 桃子}),[:SYMBOLIZES],(:Symbol {name: 多寿})
(:Object {name: 蝙蝠}),[:SYMBOLIZES],(:Symbol {name: 天降洪福})
(:Object {name: 佛手瓜}),[:SYMBOLIZES],(:Symbol {name: 福寿})
(:Artwork {name: 福寿三多}),[:REFERENCES],(:Document {name: 《庄子·外篇·天地》})
(:Symbol {name: 多福、多寿、多男子}),[:IS_A],(:Symbol {name: 福寿三多})
(:Artwork {name: 福寿三多}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/20.%E7%A6%8F%E5%AF%BF%E4%B8%89%E5%A4%9A-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 天地长春}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 天地长春}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 天地长春}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 天地长春}),[:DEPICTS],(:Object {name: 春饼})
(:Artwork {name: 天地长春}),[:DEPICTS],(:Object {name: 官帽})
(:Artwork {name: 天地长春}),[:DEPICTS],(:Object {name: 钓竿})
(:Artwork {name: 天地长春}),[:DEPICTS],(:Object {name: 布袋})
(:Artwork {name: 天地长春}),[:DEPICTS],(:Object {name: 春牛})
(:Artwork {name: 天地长春}),[:DEPICTS],(:Object {name: 节气表})
(:Object {name: 春牛}),[:IS_A],(:Object {name: 土牛})
(:Object {name: 土牛}),[:SYMBOLIZES],(:Symbol {name: 春耕的开始})
(:Object {name: 土牛}),[:SYMBOLIZES],(:Symbol {name: 劝农耕})
(:Artwork {name: 天地长春}),[:SYMBOLIZES],(:Symbol {name: 指导农事})
(:Artwork {name: 天地长春}),[:SYMBOLIZES],(:Symbol {name: 保佑全家平安})
(:Person {name: 齐健隆}),[:CREATED],(:Artwork {name: 《春牛图》})
(:Artwork {name: 天地长春}),[:DEPICTS],(:Figure {name: 芒神})
(:Artwork {name: 天地长春}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/21.%E5%A4%A9%E5%9C%B0%E9%95%BF%E6%98%A5-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 吉庆有余}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 吉庆有余}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 吉庆有余}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 吉庆有余}),[:DEPICTS],(:Object {name: 大金鱼})
(:Artwork {name: 吉庆有余}),[:DEPICTS],(:Object {name: 莲蓬})
(:Artwork {name: 吉庆有余}),[:DEPICTS],(:Object {name: 月牙小戟})
(:Artwork {name: 吉庆有余}),[:DEPICTS],(:Object {name: 玉磬})
(:Artwork {name: 吉庆有余}),[:DEPICTS],(:Object {name: 莲花})
(:Object {name: 玉磬}),[:SYMBOLIZES],(:Symbol {name: 庆})
(:Object {name: 月牙小戟}),[:SYMBOLIZES],(:Symbol {name: 吉})
(:Object {name: 大金鱼}),[:SYMBOLIZES],(:Symbol {name: 余})
(:Object {name: 莲蓬}),[:SYMBOLIZES],(:Symbol {name: 连生贵子})
(:Object {name: 莲蓬}),[:SYMBOLIZES],(:Symbol {name: 连年有余})
(:Object {name: 玉磬}),[:REFERENCES],(:Document {name: 《诗经·小雅》})
(:Object {name: 月牙小戟}),[:BELONGS_TO_ERA],(:Era {name: 唐代})
(:Artwork {name: 吉庆有余}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/22.%E5%90%89%E5%BA%86%E6%9C%89%E4%BD%99-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 《福缘善庆》}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 《福缘善庆》}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 《福缘善庆》}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 《福缘善庆》}),[:DEPICTS],(:Object {name: 香橼})
(:Artwork {name: 《福缘善庆》}),[:DEPICTS],(:Object {name: 芭蕉扇})
(:Artwork {name: 《福缘善庆》}),[:DEPICTS],(:Object {name: 玉磬})
(:Artwork {name: 《福缘善庆》}),[:DEPICTS],(:Object {name: 红色蝙蝠})
(:Object {name: 红色蝙蝠}),[:SYMBOLIZES],(:Symbol {name: 福})
(:Object {name: 香橼}),[:SYMBOLIZES],(:Symbol {name: 缘})
(:Object {name: 芭蕉扇}),[:SYMBOLIZES],(:Symbol {name: 善})
(:Artwork {name: 《福缘善庆》}),[:SYMBOLIZES],(:Symbol {name: 福缘善庆})
(:Artwork {name: 《福缘善庆》}),[:REFERENCES],(:Document {name: 《千字文》})
(:Document {name: 《千字文》}),[:REFERENCES],(:Document {name: 《易经》})
(:Person {name: 周兴嗣}),[:CREATED],(:Document {name: 《千字文》})
(:Artwork {name: 《福缘善庆》}),[:IS_A],(:Attribute {name: 三裁})
(:Artwork {name: 《福缘善庆》}),[:HAS_MEDIA],(:Media {name: 纵39.2厘米、横58厘米})
(:Artwork {name: 《福缘善庆》}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/23.%E7%A6%8F%E7%BC%98%E5%96%84%E5%BA%86-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 《元宝车》}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 《元宝车》}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 《元宝车》}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 《元宝车》}),[:DEPICTS],(:Object {name: 红绳})
(:Artwork {name: 《元宝车》}),[:DEPICTS],(:Object {name: 元宝车})
(:Artwork {name: 《元宝车》}),[:DEPICTS],(:Object {name: 花钱})
(:Artwork {name: 《元宝车》}),[:DEPICTS],(:Object {name: 金元宝})
(:Artwork {name: 《元宝车》}),[:DEPICTS],(:Object {name: 银元宝})
(:Artwork {name: 《元宝车》}),[:DEPICTS],(:Object {name: 宝珠})
(:Artwork {name: 《元宝车》}),[:DEPICTS],(:Object {name: 祥云})
(:Artwork {name: 《元宝车》}),[:DEPICTS],(:Object {name: 牡丹花})
(:Object {name: 花钱}),[:SYMBOLIZES],(:Symbol {name: 天下太平})
(:Object {name: 金元宝}),[:SYMBOLIZES],(:Symbol {name: 财富})
(:Object {name: 银元宝}),[:SYMBOLIZES],(:Symbol {name: 财富})
(:Object {name: 宝珠}),[:SYMBOLIZES],(:Symbol {name: 财富})
(:Object {name: 牡丹花}),[:SYMBOLIZES],(:Symbol {name: 富贵})
(:Artwork {name: 《元宝车》}),[:SYMBOLIZES],(:Symbol {name: 财富的企盼})
(:Person {name: 齐健隆}),[:CREATED],(:Artwork {name: 元宝车})
(:Person {name: 齐健隆}),[:IS_A],(:Attribute {name: 画师})
(:Artwork {name: 《元宝车》}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/24.%E5%85%83%E5%AE%9D%E8%BD%A6-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 《丹凤朝阳》}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 《丹凤朝阳》}),[:DEPICTS],(:Figure {name: 五彩凤凰})
(:Artwork {name: 《丹凤朝阳》}),[:DEPICTS],(:Object {name: 灵芝})
(:Artwork {name: 《丹凤朝阳》}),[:DEPICTS],(:Object {name: 牡丹})
(:Artwork {name: 《丹凤朝阳》}),[:DEPICTS],(:Object {name: 太阳})
(:Artwork {name: 《丹凤朝阳》}),[:DEPICTS],(:Object {name: 石})
(:Object {name: 灵芝}),[:SYMBOLIZES],(:Symbol {name: 延年益寿})
(:Figure {name: 五彩凤凰}),[:SYMBOLIZES],(:Symbol {name: 吉运})
(:Artwork {name: 《丹凤朝阳》}),[:SYMBOLIZES],(:Symbol {name: 子孙后代事业有成、一路荣华})
(:Artwork {name: 《丹凤朝阳》}),[:REFERENCES],(:Document {name: 《山海经·南山经》})
(:Artwork {name: 《丹凤朝阳》}),[:REFERENCES],(:Document {name: 《诗经·大雅·卷阿》})
(:Artwork {name: 《丹凤朝阳》}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 《丹凤朝阳》}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 《丹凤朝阳》}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/25.%E4%B8%B9%E5%87%A4%E6%9C%9D%E9%98%B3-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 富贵有余}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 富贵有余}),[:USES],(:Technique {name: 版印墨线})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Figure {name: 右侧童子})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Figure {name: 左侧童子})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Object {name: 金鱼})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Object {name: 鱼缸})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Object {name: 猫})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Object {name: 蝴蝶})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Object {name: 梅花})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Object {name: 蕉叶围嘴})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Object {name: 长命锁})
(:Artwork {name: 富贵有余}),[:DEPICTS],(:Object {name: 牡丹花})
(:Object {name: 猫}),[:SYMBOLIZES],(:Symbol {name: 耄耋})
(:Object {name: 蝴蝶}),[:SYMBOLIZES],(:Symbol {name: 耄耋})
(:Object {name: 金鱼}),[:SYMBOLIZES],(:Symbol {name: 余})
(:Symbol {name: 富贵}),[:SYMBOLIZES],(:Symbol {name: 富贵有余})
(:Symbol {name: 余}),[:SYMBOLIZES],(:Symbol {name: 富贵有余})
(:Symbol {name: 耄耋}),[:SYMBOLIZES],(:Symbol {name: 长寿})
(:Figure {name: 右侧童子}),[:DEPICTS],(:Object {name: 梅花})
(:Figure {name: 右侧童子}),[:DEPICTS],(:Object {name: 蕉叶围嘴})
(:Figure {name: 右侧童子}),[:DEPICTS],(:Object {name: 长命锁})
(:Figure {name: 右侧童子}),[:DEPICTS],(:Object {name: 金鱼})
(:Figure {name: 左侧童子}),[:DEPICTS],(:Object {name: 牡丹花})
(:Figure {name: 左侧童子}),[:DEPICTS],(:Object {name: 猫})
(:Artwork {name: 富贵有余}),[:IS_A],(:Artwork {name: 清代版/三裁/版印墨线/纵39.7厘米、横65厘米})
(:Artwork {name: 富贵有余}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/26.%E5%AF%8C%E8%B4%B5%E6%9C%89%E4%BD%99-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 猫蝶富贵}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 猫蝶富贵}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 猫蝶富贵}),[:DEPICTS],(:Object {name: 猫})
(:Artwork {name: 猫蝶富贵}),[:DEPICTS],(:Object {name: 飞蝶})
(:Artwork {name: 猫蝶富贵}),[:DEPICTS],(:Object {name: 牡丹花丛})
(:Artwork {name: 猫蝶富贵}),[:DEPICTS],(:Object {name: 绸带})
(:Artwork {name: 猫蝶富贵}),[:DEPICTS],(:Object {name: 暗八仙纹饰华服})
(:Object {name: 飞蝶}),[:SYMBOLIZES],(:Symbol {name: 耄耋})
(:Artwork {name: 猫蝶富贵}),[:SYMBOLIZES],(:Symbol {name: 耄耋富贵})
(:Symbol {name: 耄耋富贵}),[:SYMBOLIZES],(:Symbol {name: 祝颂老年人富贵长寿})
(:Object {name: 牡丹花丛}),[:SYMBOLIZES],(:Symbol {name: 富贵})
(:Artwork {name: 猫蝶富贵}),[:USES],(:Technique {name: 版印墨线})
(:Artwork {name: 猫蝶富贵}),[:HAS_MEDIA],(:Media {name: https://atc-yanliuqing-images.oss-cn-beijing.aliyuncs.com/all_pic%E5%9B%BE%E7%89%87%E5%BA%93_%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C/27.%E7%8C%AB%E8%9D%B6%E5%AF%8C%E8%B4%B5-%E8%B0%9C%E5%BC%8F%E5%AF%93%E6%84%8F%20%E6%9D%A8%E6%9F%B3%E9%9D%92%E5%B9%B4%E7%94%BB%E4%B8%AD%E7%9A%84%E5%A4%9A%E9%87%8D%E4%B8%96%E7%95%8C.png})
(:Artwork {name: 葫芦万代}),[:BELONGS_TO_ERA],(:Era {name: 清代})
(:Artwork {name: 葫芦万代}),[:USES],(:Technique {name: 版印笔绘})
(:Artwork {name: 葫芦万代}),[:DEPICTS],(:Figure {name: 簪花少女})
(:Artwork {name: 葫芦万代}),[:DEPICTS],(:Figure {name: 小儿})
(:Artwork {name: 葫芦万代}),[:DEPICTS],(:Object {name: 葫芦})
(:Artwork {name: 葫芦万代}),[:DEPICTS],(:Object {name: 藤蔓})
(:Object {name: 葫芦}),[:SYMBOLIZES],(:Symbol {name: 子孙万代})
(:Object {name: 葫芦}),[:SYMBOLIZES],(:Symbol {name: 生生不息})
(:Object {name: 葫芦}),[:SYMBOLIZES],(:Symbol {name: 福禄})
(:Object {name: 葫芦}),[:SYMBOLIZES],(:Symbol {name: 幸福美满})
(:Object {name: 葫芦}),[:SYMBOLIZES],(:Symbol {name: 高官厚禄})
(:Figure {name: 簪花少女}),[:DEPICTS],(:Object {name: 葫芦})
(:Figure {name: 小儿}),[:DEPICTS],(:Figure {name: 妈妈})
(:Artwork {name: 葫芦万代}),[:SYMBOLIZES],(:Symbol {name: 万代盘长})
